id,@id,addr_block,addr_city,addr_count,addr_distr,addr_floor,addr_full,addr_house,addr_hou_1,addr_inter,addr_postc,addr_provi,addr_stree,addr_subdi,addr_subur,addr_unit,addr_ward,air_condit,alt_name,alt_name_e,amenity,atm,barrier,branch,brand,brand_en,brand_th,brand_wiki,brand_wi_1,building,building_c,building_l,building_1,building_m,building_p,changing_t,check_date,check_da_1,check_da_2,constructi,contact_em,contact_fa,contact_in,contact_ph,cuisine,delivery,denominati,descriptio,designatio,diet_glute,diet_meat,diet_vegan,diet_veget,education,ele,email,faculty,fax,fixme,fridge,grades,height,image,import,indoor,informatio,int_name,internet_a,internet_1,internet_2,isced_leve,landuse,lane,layer,level,location,min_age,mobile,name,name_ar,name_ca,name_cja-L,name_cjm-L,name_cs,name_da,name_de,name_en,name_eo,name_es,name_etymo,name_fi,name_fr,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_mn,name_ms,name_nl,name_no,name_pl,name_pt,name_ro,name_ru,name_sv,name_th,name_tr,name_uk,name_vi,name_vi-Ha,name_yue,name_zh,name_zh-Ha,name_zh-_1,nohousenum,not_brand_,note,office,official_n,official_1,official_2,old_addr_h,old_name,old_name_-,old_name_e,old_name_f,old_name_v,old_name_z,opening_ho,opening__1,operator,operator_t,organic,origin,parking,payment_am,payment_ap,payment__1,payment_ba,payment_ca,payment__2,payment_co,payment__3,payment_cr,payment__4,payment_de,payment_di,payment_el,payment_jc,payment_ma,payment__5,payment_pa,payment_qr,payment_te,payment_un,payment_vi,payment__6,pets_allow,phone,ref,religion,restaurant,reusable_p,roof_level,roof_shape,room,rooms,school,second_han,self_servi,service,shop,short_name,short_na_1,short_na_2,smoking,source,stars,start,start_date,stove,toilets,toilets_ac,toilets_wh,tourism,type,ward,website,wheelchair,wikidata,wikimedia_,wikipedia,@geometry
relation/2204742,relation/2204742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,hotel,multipolygon,,,,,,,center
relation/9487536,relation/9487536,,,,,,,,300A,,,,Nguy?n T?t Thành,,,,,,,,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university,,,,,,,,,,,,,,,,,,,,,,,,,Tr??ng ??i h?c Nguy?n T?t Thành,,,,,,,,Nguyen Tat Thanh University,,,,,,,,Universitas Nguyen Tat Thanh,,,,,Universiti Nguyen Tat Thanh,,,,,,????? ??? ???????? ???????????,,,,,,,,?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,center
relation/11102209,relation/11102209,,,,,,,,,,,,,,,,,,,,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retail,,,,,,,Ch? c? Tôn Th?t ??m,,,,,,,,Old Market,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,center
relation/14666596,relation/14666596,,,,,,,,"136",,,,Nguy?n Thái Bình,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lotus Boutique;V?n phòng Công ch?ng Sài Gòn",???? ???? ????? ??????,,,,,,,Saigon Notary Office,,,,,Notaire de Saigon,,,Kantor Notaris Saigon,,,,,Pejabat Notary Saigon,,,,,,?????????? ???????????? ???????,,,,,,,,?????,,,,,,notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hotel,multipolygon,,,,,,,center
way/39514795,way/39514795,,,,,,,,,,"71009",,Công tr??ng Quách Th? Trang,,,,,,Ch? Sài Gòn,,marketplace,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ch? B?n Thành,?? ???? ?????,,Pasa Ben Thanh,Darak Ben Thanh,Ben Thanh trhu,Ben Thanh markedet,Ben Thanh Markt,Ben Thanh Market,Ben Thanh Merkato,Mercado de Ben Thanh,,Ben Thanh markkinoille,Marché de Ben Thanh,??? ??? ?????,Ben Thanh piac,Pasar Ben Thanh,Mercato di Ben Thanh,???????,??? ??,??? Thanh ??? ????,Pasar Ben Thanh,Ben Thanh markt,Ben Thanh-markedet,Targ Ben Thanh,Mercado Ben Thanh,Pia?? Ben Thanh,????? ??? ?????,Ben Thanh-Marknaden,???????????,Ben Thanh Pazar?,????? ??? ?????,Ch? B?n Thành,???,????,????,,,,,,,,,,,"Marché Central de Saïgon;Ch? Sài Gòn",,,,,,Mo-Su 06:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0973756776",,,,,,,,,,,,,,,,,,,,,,,,,,attraction,,,https://benthanhmarket.vn/,,Q3232879,Category:Ben Thanh Market,en:B?n Thành Market,center
way/39598465,way/39598465,,Ho Chi Minh City,,"1",,,,,,"Ben Nghe Ward, Dist. 1",,19-23 Công Tr??ng Lam S?n,,,,,,,,,,,,,,,,,yes,,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30",,,,,,wlan,,,,,,,,,,,Khách s?n Caravelle Saigon,,,,,,,Caravelle Saigon,,,,,,,,,,,,,,,,,,,,???????,,,,,,,,,,,,,,,,,,,,,,,,,,,Caravelle Saigon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"335",,,,,,,,,outside,,"5",,,,,,,hotel,,,,,,,,center
way/39598471,way/39598471,,,,Qu?n 1,,,,,,,H? Chí Minh,,Tân ??nh,,,,,,,marketplace,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ch? Tân ??nh,,,,,,,,Tan Dinh Market,,,,,Marché de Tan-Dinh,,,,,,,,,,,,,,,,,,,,,,????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center
way/39598474,way/39598474,,Thành ph? H? Chí Minh,,,,,,"141",,"71006",,Nguy?n Hu?,,,,,,Khách s?n B?n Thành,,,,,,,,,,,yes,,,,,,,2024/05/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rex Hotel,,,,,,,,,,,,Khách S?n Rex,,,,,,,,,,,,,,,,,,,,,,,,,,,????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hotel,,,http://www.rexhotelvietnam.com,,,,,center
way/39598491,way/39598491,,,,,,,,"17",,,,Lê Du?n,,,,,,,,,,,,,,,,,yes,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khách s?n Sofitel Plaza Saigon,,,,,,,,Sofitel Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+84 8 38241555,,,,,,,,,,,,,,,,,,,,,,,,,,hotel,,,http://www.sofitel.com/gb/hotel-2077-sofitel-saigon-plaza/index.shtml,,,,,center
way/39598509,way/39598509,,,,,,,,,,,,,,,,,,,,marketplace,,,,,,,,,commercial,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,,,,,,,,,,,Ch? Thái Bình,,,,,,,,Thai Binh Market,,,,,Marché de Thai-Binh,,,,,,,,,,,,,,,,,,,,,,????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center
